Company	Product	metric_type	units	freq	metric_value	metric_key
Actavis	Methylphenidate ER	product_sales	usd_mm	YEAR	612.140	2013-12-31
Merck & Co	Isentress	product_sales	usd_mm	YEAR	882.000	2013-12-31
AstraZeneca	Seroquel XR	product_sales	usd_mm	YEAR	743.000	2013-12-31
Cubist Pharmaceuticals	Cubicin	product_sales	usd_mm	YEAR	907.978	2013-12-31
Johnson & Johnson	Procrit	product_sales	usd_mm	YEAR	795.000	2013-12-31
Bristol-Myers Squibb	Reyataz	product_sales	usd_mm	YEAR	769.000	2013-12-31
Eli Lilly	Cialis	product_sales	usd_mm	YEAR	942.800	2013-12-31
Amgen	Aranesp	product_sales	usd_mm	YEAR	747.000	2013-12-31
Grifols	Gamunex IGIV	product_sales	usd_mm	YEAR	830.983	2013-12-31
Merck & Co	Vytorin	product_sales	usd_mm	YEAR	673.000	2013-12-31
Novo Nordisk	NovoSeven	product_sales	usd_mm	YEAR	794.257	2013-12-31
Roche	Xolair	product_sales	usd_mm	YEAR	852.774	2013-12-31
AbbVie	TriCor	product_sales	usd_mm	YEAR	156.000	2013-12-31
Bayer	Betaseron	product_sales	usd_mm	YEAR	662.882	2013-12-31
Allergan	Restasis	product_sales	usd_mm	YEAR	870.000	2013-12-31
Novartis	Gilenya	product_sales	usd_mm	YEAR	1023.000	2013-12-31
Boehringer Ingelheim	Pradaxa	product_sales	usd_mm	YEAR	841.032	2013-12-31
Warner Chilcott	Asacol	product_sales	usd_mm	YEAR	379.524	2013-12-31
GlaxoSmithKline	Flixotide/Flovent	product_sales	usd_mm	YEAR	754.111	2013-12-31
Eli Lilly	Evista	product_sales	usd_mm	YEAR	772.000	2013-12-31
AstraZeneca	Seroquel	product_sales	usd_mm	YEAR	-17.000	2013-12-31
Bristol-Myers Squibb	Erbitux	product_sales	usd_mm	YEAR	682.000	2013-12-31
Johnson & Johnson	Prezista	product_sales	usd_mm	YEAR	807.000	2013-12-31
Roche	Xeloda	product_sales	usd_mm	YEAR	664.948	2013-12-31
Pfizer	Zyvox	product_sales	usd_mm	YEAR	688.000	2013-12-31
Novartis	Sandostatin LAR Depot	product_sales	usd_mm	YEAR	710.000	2013-12-31
Amgen	Xgeva	product_sales	usd_mm	YEAR	764.000	2013-12-31
Mylan	EpiPen	product_sales	usd_mm	YEAR	807.200	2013-12-31
Actelion	Tracleer	product_sales	usd_mm	YEAR	661.371	2013-12-31
Amgen	Sensipar	product_sales	usd_mm	YEAR	757.000	2013-12-31
Johnson & Johnson	Stelara	product_sales	usd_mm	YEAR	957.000	2013-12-31
AstraZeneca	Synagis	product_sales	usd_mm	YEAR	617.000	2013-12-31
Roche	Tarceva	product_sales	usd_mm	YEAR	651.995	2013-12-31
Johnson & Johnson	Concerta	product_sales	usd_mm	YEAR	308.000	2013-12-31
Teva Pharmaceutical Industries	Treanda	product_sales	usd_mm	YEAR	709.000	2013-12-31
Merck & Co	Zostavax	product_sales	usd_mm	YEAR	653.000	2013-12-31
Reckitt Benckiser	Suboxone Film	product_sales	usd_mm	YEAR	828.525	2013-12-31
Sanofi	Fluzone/Vaxigrip	product_sales	usd_mm	YEAR	708.048	2013-12-31
Merck & Co	Nasonex	product_sales	usd_mm	YEAR	681.000	2013-12-31
Bristol-Myers Squibb	Orencia	product_sales	usd_mm	YEAR	609.000	2013-12-31
Eli Lilly	Humulin R	product_sales	usd_mm	YEAR	677.200	2013-12-31
Sanofi	Renagel	product_sales	usd_mm	YEAR	705.392	2013-12-31
Roche	Pegasys	product_sales	usd_mm	YEAR	331.395	2013-12-31
Astellas Pharma	Lexiscan	product_sales	usd_mm	YEAR	585.198	2013-12-31
Roche	Activase	product_sales	usd_mm	YEAR	685.458	2013-12-31
AbbVie	Lupron	product_sales	usd_mm	YEAR	566.000	2013-12-31
Astellas Pharma	Vesicare	product_sales	usd_mm	YEAR	580.205	2013-12-31
Novartis	Zometa	product_sales	usd_mm	YEAR	115.000	2013-12-31
AbbVie	Synthroid	product_sales	usd_mm	YEAR	622.000	2013-12-31
Dainippon Sumitomo Pharma	Lunesta	product_sales	usd_mm	YEAR	579.206	2013-12-31
Pfizer	Advil	product_sales	usd_mm	YEAR	543.242	2013-12-31
Salix Pharmaceuticals	Xifaxan 550	product_sales	usd_mm	YEAR	645.628	2013-12-31
Questcor Pharmaceuticals	H.P. Acthar Gel	product_sales	usd_mm	YEAR	760.547	2013-12-31
Bristol-Myers Squibb	Yervoy	product_sales	usd_mm	YEAR	577.000	2013-12-31
GlaxoSmithKline	Avodart	product_sales	usd_mm	YEAR	488.138	2013-12-31
The Medicines Company	Angiomax	product_sales	usd_mm	YEAR	550.200	2013-12-31
Teva Pharmaceutical Industries	Budesonide (inhalation)	product_sales	usd_mm	YEAR	509.425	2013-12-31
Sanofi	Menactra	product_sales	usd_mm	YEAR	371.958	2013-12-31
Bayer	Mirena	product_sales	usd_mm	YEAR	551.295	2013-12-31
Pfizer	Pristiq	product_sales	usd_mm	YEAR	540.000	2013-12-31
Merck & Co	Maxalt	product_sales	usd_mm	YEAR	38.000	2013-12-31
Eli Lilly	Forteo	product_sales	usd_mm	YEAR	511.400	2013-12-31
Pfizer	Detrol	product_sales	usd_mm	YEAR	375.000	2013-12-31
Johnson & Johnson	Invega Sustenna	product_sales	usd_mm	YEAR	690.000	2013-12-31
Sanofi	Pentacel	product_sales	usd_mm	YEAR	365.316	2013-12-31
Johnson & Johnson	Zytiga	product_sales	usd_mm	YEAR	750.000	2013-12-31
Actavis	Atorvastatin calcium	product_sales	usd_mm	YEAR	0.000	2013-12-31
Merck & Co	Pneumovax	product_sales	usd_mm	YEAR	491.000	2013-12-31
GlaxoSmithKline	NicoDerm CQ	product_sales	usd_mm	YEAR	433.444	2013-12-31
Forest Laboratories	Bystolic	product_sales	usd_mm	YEAR	529.615	2013-12-31
Merck & Co	RotaTeq	product_sales	usd_mm	YEAR	471.000	2013-12-31
Novartis	Enoxaparin Sodium	product_sales	usd_mm	YEAR	213.000	2013-12-31
Eisai	Aloxi	product_sales	usd_mm	YEAR	428.413	2013-12-31
Johnson & Johnson	Risperdal Consta	product_sales	usd_mm	YEAR	440.000	2013-12-31
GlaxoSmithKline	Ventolin HFA	product_sales	usd_mm	YEAR	455.283	2013-12-31
Novo Nordisk	NovoMix 30	product_sales	usd_mm	YEAR	479.867	2013-12-31
Shire	Adderall XR	product_sales	usd_mm	YEAR	375.400	2013-12-31
Novartis	Exelon	product_sales	usd_mm	YEAR	457.000	2013-12-31
Bayer	Kogenate	product_sales	usd_mm	YEAR	438.379	2013-12-31
Sanofi	Adacel	product_sales	usd_mm	YEAR	347.617	2013-12-31
Merck & Co	Temodar	product_sales	usd_mm	YEAR	304.000	2013-12-31
Reckitt Benckiser	Suboxone	product_sales	usd_mm	YEAR	78.012	2013-12-31
GlaxoSmithKline	Hepatitis Vaccine Franchise	product_sales	usd_mm	YEAR	411.475	2013-12-31
Novartis	Patanol	product_sales	usd_mm	YEAR	441.000	2013-12-31
UCB	Cimzia	product_sales	usd_mm	YEAR	503.472	2013-12-31
Novartis	Afinitor	product_sales	usd_mm	YEAR	691.000	2013-12-31
Sanofi	Lovenox	product_sales	usd_mm	YEAR	248.415	2013-12-31
Gilead Sciences	Letairis	product_sales	usd_mm	YEAR	519.966	2013-12-31
Johnson & Johnson	Oral Contraceptive Franchise	product_sales	usd_mm	YEAR	379.453	2013-12-31
Takeda	Colcrys	product_sales	usd_mm	YEAR	518.290	2013-12-31
Bristol-Myers Squibb	Sprycel	product_sales	usd_mm	YEAR	541.000	2013-12-31
Novartis	Ritalin/Ritalin LA	product_sales	usd_mm	YEAR	435.000	2013-12-31
Alexion Pharmaceuticals	Soliris	product_sales	usd_mm	YEAR	561.405	2013-12-31
Daiichi Sankyo	Welchol	product_sales	usd_mm	YEAR	422.421	2013-12-31
Boehringer Ingelheim	Micardis	product_sales	usd_mm	YEAR	378.001	2013-12-31
Takeda	Dexilant	product_sales	usd_mm	YEAR	502.311	2013-12-31
Warner Chilcott	Loestrin 24 FE	product_sales	usd_mm	YEAR	184.173	2013-12-31
Sanofi	Synvisc	product_sales	usd_mm	YEAR	391.884	2013-12-31
Gilead Sciences	Viread	product_sales	usd_mm	YEAR	428.190	2013-12-31
Merck & Co	Claritin OTC	product_sales	usd_mm	YEAR	410.000	2013-12-31
GlaxoSmithKline	Epzicom/Kivexa	product_sales	usd_mm	YEAR	420.863	2013-12-31
Eli Lilly	Strattera	product_sales	usd_mm	YEAR	446.300	2013-12-31
Astellas Pharma	Prograf	product_sales	usd_mm	YEAR	295.595	2013-12-31
Novartis	Travatan	product_sales	usd_mm	YEAR	414.200	2013-12-31
Jazz Pharmaceuticals	Xyrem	product_sales	usd_mm	YEAR	569.113	2013-12-31
Boehringer Ingelheim	Aggrenox	product_sales	usd_mm	YEAR	407.724	2013-12-31
Teva Pharmaceutical Industries	ProAir HFA	product_sales	usd_mm	YEAR	392.000	2013-12-31
Gilead Sciences	Ranexa	product_sales	usd_mm	YEAR	448.624	2013-12-31
Procter & Gamble	Prilosec OTC	product_sales	usd_mm	YEAR	345.313	2013-12-31
Roche	Tamiflu	product_sales	usd_mm	YEAR	462.009	2013-12-31
Johnson & Johnson	AcipHex	product_sales	usd_mm	YEAR	265.000	2013-12-31
Merck & Co	NuvaRing	product_sales	usd_mm	YEAR	426.000	2013-12-31
Merck & Co	M-M-R II	product_sales	usd_mm	YEAR	307.000	2013-12-31
Eli Lilly	Zyprexa	product_sales	usd_mm	YEAR	123.600	2013-12-31
Shire	Lialda	product_sales	usd_mm	YEAR	474.555	2013-12-31
Novartis	Exforge	product_sales	usd_mm	YEAR	356.000	2013-12-31
Pfizer	BeneFIX	product_sales	usd_mm	YEAR	395.000	2013-12-31
United Therapeutics	Remodulin	product_sales	usd_mm	YEAR	373.296	2013-12-31
Bristol-Myers Squibb	Onglyza	product_sales	usd_mm	YEAR	396.000	2013-12-31
Teva Pharmaceutical Industries	Provigil	product_sales	usd_mm	YEAR	29.333	2013-12-31
Novartis	Reclast	product_sales	usd_mm	YEAR	92.814	2013-12-31
AbbVie	Creon	product_sales	usd_mm	YEAR	412.000	2013-12-31
Novartis	Tasigna	product_sales	usd_mm	YEAR	428.000	2013-12-31
AbbVie	TriLipix	product_sales	usd_mm	YEAR	143.000	2013-12-31
GlaxoSmithKline	Pediarix	product_sales	usd_mm	YEAR	423.992	2013-12-31
Roche	Valcyte	product_sales	usd_mm	YEAR	386.447	2013-12-31
Roche	Pulmozyme	product_sales	usd_mm	YEAR	383.209	2013-12-31
Eli Lilly	Effient	product_sales	usd_mm	YEAR	376.900	2013-12-31
Novo Nordisk	Human insulin & devices	product_sales	usd_mm	YEAR	351.974	2013-12-31
Pfizer	Sutent	product_sales	usd_mm	YEAR	351.000	2013-12-31
Pfizer	Centrum	product_sales	usd_mm	YEAR	339.065	2013-12-31
Celgene	Abraxane	product_sales	usd_mm	YEAR	505.000	2013-12-31
Teva Pharmaceutical Industries	Nuvigil	product_sales	usd_mm	YEAR	299.304	2013-12-31
Celgene	Vidaza	product_sales	usd_mm	YEAR	275.000	2013-12-31
United Therapeutics	Tyvaso	product_sales	usd_mm	YEAR	438.793	2013-12-31
Dendreon	Provenge	product_sales	usd_mm	YEAR	283.676	2013-12-31
UCB	Vimpat	product_sales	usd_mm	YEAR	417.124	2013-12-31
ViroPharma	Cinryze	product_sales	usd_mm	YEAR	396.996	2013-12-31
General Electric	Visipaque	product_sales	usd_mm	YEAR	272.026	2013-12-31
Roche	Nutropin	product_sales	usd_mm	YEAR	289.296	2013-12-31
Pfizer	Chantix	product_sales	usd_mm	YEAR	343.000	2013-12-31
Pfizer	Revatio	product_sales	usd_mm	YEAR	67.000	2013-12-31
Eisai	AcipHex	product_sales	usd_mm	YEAR	188.297	2013-12-31
AstraZeneca	Faslodex	product_sales	usd_mm	YEAR	324.000	2013-12-31
Allergan	Lumigan	product_sales	usd_mm	YEAR	295.976	2013-12-31
Warner Chilcott	Actonel	product_sales	usd_mm	YEAR	180.596	2013-12-31
Dainippon Sumitomo Pharma	Xopenex	product_sales	usd_mm	YEAR	120.834	2013-12-31
Endo International	Opana ER	product_sales	usd_mm	YEAR	227.878	2013-12-31
Johnson & Johnson	Invega	product_sales	usd_mm	YEAR	316.000	2013-12-31
Novo Nordisk	Norditropin SimpleXx	product_sales	usd_mm	YEAR	404.877	2013-12-31
Medicis Pharmaceutical	Solodyn	product_sales	usd_mm	YEAR	0.000	2013-12-31
Takeda	Prevacid	product_sales	usd_mm	YEAR	296.593	2013-12-31
Amgen	Prolia	product_sales	usd_mm	YEAR	462.000	2013-12-31
Johnson & Johnson	Simponi	product_sales	usd_mm	YEAR	404.000	2013-12-31
GlaxoSmithKline	Lamictal	product_sales	usd_mm	YEAR	278.489	2013-12-31
General Electric	Omnipaque	product_sales	usd_mm	YEAR	302.596	2013-12-31
Ranbaxy Laboratories	Atorvastatin	product_sales	usd_mm	YEAR	156.950	2013-12-31
Shire	Intuniv	product_sales	usd_mm	YEAR	334.900	2013-12-31
Teva Pharmaceutical Industries	Escitalopram Oxalate	product_sales	usd_mm	YEAR	36.460	2013-12-31
Grifols	Prolastin-C A1P1	product_sales	usd_mm	YEAR	309.804	2013-12-31
Amylin Pharmaceuticals	Byetta	product_sales	usd_mm	YEAR	0.000	2013-12-31
Gilead Sciences	Complera	product_sales	usd_mm	YEAR	503.190	2013-12-31
AbbVie	Kaletra	product_sales	usd_mm	YEAR	244.000	2013-12-31
Merck KGaA	Gonal-F	product_sales	usd_mm	YEAR	279.345	2013-12-31
AbbVie	Norvir	product_sales	usd_mm	YEAR	318.167	2013-12-31
Merck & Co	Emend	product_sales	usd_mm	YEAR	293.000	2013-12-31
Mylan	Escitalopram Oxalate	product_sales	usd_mm	YEAR	14.357	2013-12-31
Johnson & Johnson	Nucynta	product_sales	usd_mm	YEAR	280.478	2013-12-31
Novartis	Fluvirin	product_sales	usd_mm	YEAR	272.160	2013-12-31
Novartis	Vigamox	product_sales	usd_mm	YEAR	283.500	2013-12-31
Takeda	Amitiza	product_sales	usd_mm	YEAR	256.648	2013-12-31
Merck & Co	Victrelis	product_sales	usd_mm	YEAR	158.000	2013-12-31
Acorda Therapeutics	Ampyra	product_sales	usd_mm	YEAR	302.600	2013-12-31
Shire	Pentasa	product_sales	usd_mm	YEAR	280.600	2013-12-31
Bayer	Nexavar	product_sales	usd_mm	YEAR	290.924	2013-12-31
Reckitt Benckiser	Mucinex SE/Humibid	product_sales	usd_mm	YEAR	134.769	2013-12-31
Sanofi	Multaq	product_sales	usd_mm	YEAR	286.939	2013-12-31
Roche	Actemra	product_sales	usd_mm	YEAR	338.951	2013-12-31
Teva Pharmaceutical Industries	Mixed Amphetamine Salts XR	product_sales	usd_mm	YEAR	191.982	2013-12-31
Novartis	Exjade	product_sales	usd_mm	YEAR	265.000	2013-12-31
Valeant Pharmaceuticals International	Zovirax Topical	product_sales	usd_mm	YEAR	120.000	2013-12-31
Grifols	Flebogamma	product_sales	usd_mm	YEAR	266.513	2013-12-31
Bayer	Yasmin	product_sales	usd_mm	YEAR	188.636	2013-12-31
Baxter International	Suprane	product_sales	usd_mm	YEAR	257.276	2013-12-31
Bristol-Myers Squibb	Baraclude	product_sales	usd_mm	YEAR	289.000	2013-12-31
Johnson & Johnson	Xarelto	product_sales	usd_mm	YEAR	864.000	2013-12-31
Novartis	Myfortic	product_sales	usd_mm	YEAR	270.000	2013-12-31
GlaxoSmithKline	Lamictal XR	product_sales	usd_mm	YEAR	153.325	2013-12-31
Hospira	Precedex	product_sales	usd_mm	YEAR	292.813	2013-12-31
Eisai	Dacogen	product_sales	usd_mm	YEAR	134.815	2013-12-31
Auxilium Pharmaceuticals	Testim	product_sales	usd_mm	YEAR	206.200	2013-12-31
AstraZeneca	Pulmicort Respules	product_sales	usd_mm	YEAR	224.000	2013-12-31
GlaxoSmithKline	Boostrix	product_sales	usd_mm	YEAR	286.312	2013-12-31
UCB	E Keppra	product_sales	usd_mm	YEAR	296.238	2013-12-31
AbbVie	Zemplar	product_sales	usd_mm	YEAR	218.000	2013-12-31
Novartis	TOBI	product_sales	usd_mm	YEAR	268.000	2013-12-31
Merck & Co	Invanz	product_sales	usd_mm	YEAR	252.000	2013-12-31
Teva Pharmaceutical Industries	QVAR	product_sales	usd_mm	YEAR	242.600	2013-12-31
Johnson & Johnson	Zyrtec	product_sales	usd_mm	YEAR	202.033	2013-12-31
Pfizer	Skelaxin	product_sales	usd_mm	YEAR	146.500	2013-12-31
Merck KGaA	Saizen	product_sales	usd_mm	YEAR	214.763	2013-12-31
Pfizer	Relpax	product_sales	usd_mm	YEAR	218.000	2013-12-31
Bristol-Myers Squibb	Sustiva	product_sales	usd_mm	YEAR	209.923	2013-12-31
Pfizer	Tazocin/Zosyn	product_sales	usd_mm	YEAR	172.000	2013-12-31
Emergent BioSolutions	BioThrax	product_sales	usd_mm	YEAR	246.700	2013-12-31
Takeda	Uloric	product_sales	usd_mm	YEAR	268.632	2013-12-31
Amgen	Nplate	product_sales	usd_mm	YEAR	241.000	2013-12-31
Pfizer	Geodon	product_sales	usd_mm	YEAR	84.000	2013-12-31
Sanofi	Cerezyme	product_sales	usd_mm	YEAR	236.459	2013-12-31
GlaxoSmithKline	Coreg CR	product_sales	usd_mm	YEAR	203.391	2013-12-31
Novogyne Pharmaceuticals	Vivelle-Dot/Estradot	product_sales	usd_mm	YEAR	218.568	2013-12-31
Spectrum Pharmaceuticals	Fusilev	product_sales	usd_mm	YEAR	68.400	2013-12-31
Pfizer	Genotropin	product_sales	usd_mm	YEAR	199.000	2013-12-31
Bristol-Myers Squibb	Orencia SC	product_sales	usd_mm	YEAR	345.000	2013-12-31
Teva Pharmaceutical Industries	Azilect	product_sales	usd_mm	YEAR	226.102	2013-12-31
Lundbeck	Xenazine	product_sales	usd_mm	YEAR	248.305	2013-12-31
Merck & Co	Dulera	product_sales	usd_mm	YEAR	309.000	2013-12-31
Sanofi	Fabrazyme	product_sales	usd_mm	YEAR	260.371	2013-12-31
Forest Laboratories	Lexapro	product_sales	usd_mm	YEAR	89.744	2013-12-31
Dainippon Sumitomo Pharma	Latuda	product_sales	usd_mm	YEAR	421.422	2013-12-31
Warner Chilcott	Estrace Cream	product_sales	usd_mm	YEAR	160.668	2013-12-31
Merck & Co	Integrilin	product_sales	usd_mm	YEAR	170.000	2013-12-31
Merck & Co	Avelox	product_sales	usd_mm	YEAR	130.000	2013-12-31
IMPAX Laboratories	Mixed Amphetamine Salts XR	product_sales	usd_mm	YEAR	106.867	2013-12-31
Baxter International	Recombinate	product_sales	usd_mm	YEAR	184.488	2013-12-31
Baxter International	FEIBA VH	product_sales	usd_mm	YEAR	197.683	2013-12-31
Par Pharmaceutical Companies	Metoprolol Succinate XR	product_sales	usd_mm	YEAR	56.670	2013-12-31
Pfizer	Rapamune	product_sales	usd_mm	YEAR	201.000	2013-12-31
Celgene	Thalomid	product_sales	usd_mm	YEAR	173.295	2013-12-31
Actavis	Metoprolol Succinate	product_sales	usd_mm	YEAR	160.121	2013-12-31
Roche	CellCept	product_sales	usd_mm	YEAR	220.210	2013-12-31
General Electric	Myoview	product_sales	usd_mm	YEAR	152.491	2013-12-31
Daiichi Sankyo	Azor	product_sales	usd_mm	YEAR	173.762	2013-12-31
Mylan	Fentanyl Transdermal System	product_sales	usd_mm	YEAR	180.950	2013-12-31
Johnson & Johnson	Intelence	product_sales	usd_mm	YEAR	187.000	2013-12-31
Novartis	Extravan/DuoTrav	product_sales	usd_mm	YEAR	192.500	2013-12-31
GlaxoSmithKline	Tums	product_sales	usd_mm	YEAR	179.923	2013-12-31
AstraZeneca	FluMist	product_sales	usd_mm	YEAR	199.000	2013-12-31
Valeant Pharmaceuticals International	Wellbutrin XL	product_sales	usd_mm	YEAR	159.625	2013-12-31
Vertex Pharmaceuticals	Kalydeco	product_sales	usd_mm	YEAR	216.629	2013-12-31
Warner Chilcott	Enablex	product_sales	usd_mm	YEAR	104.368	2013-12-31
Boehringer Ingelheim	Atrovent HFA	product_sales	usd_mm	YEAR	180.201	2013-12-31
Merck & Co	Proventil-HFA	product_sales	usd_mm	YEAR	168.000	2013-12-31
Galderma	Epiduo	product_sales	usd_mm	YEAR	184.901	2013-12-31
Merck & Co	Asmanex	product_sales	usd_mm	YEAR	162.000	2013-12-31
Eli Lilly	Humatrope	product_sales	usd_mm	YEAR	138.800	2013-12-31
Baxter International	Tisseel	product_sales	usd_mm	YEAR	173.650	2013-12-31
Merck & Co	Puregon/Follistim	product_sales	usd_mm	YEAR	181.000	2013-12-31
Novartis	Tekturna	product_sales	usd_mm	YEAR	93.400	2013-12-31
Forest Laboratories	Viibryd	product_sales	usd_mm	YEAR	199.027	2013-12-31
Bristol-Myers Squibb	Kombiglyze XR	product_sales	usd_mm	YEAR	195.000	2013-12-31
Merck & Co	Saphris	product_sales	usd_mm	YEAR	157.070	2013-12-31
Novartis	Excedrin	product_sales	usd_mm	YEAR	160.148	2013-12-31
Perrigo Company	Omeprazole Magnesium Tablet	product_sales	usd_mm	YEAR	155.504	2013-12-31
Actavis	Hydrocodone & Acetaminophen	product_sales	usd_mm	YEAR	134.000	2013-12-31
Baxter International	FloSeal	product_sales	usd_mm	YEAR	172.899	2013-12-31
GlaxoSmithKline	Rotarix	product_sales	usd_mm	YEAR	168.971	2013-12-31
Allergan	Alphagan	product_sales	usd_mm	YEAR	149.431	2013-12-31
Teva Pharmaceutical Industries	Olanzapine	product_sales	usd_mm	YEAR	41.724	2013-12-31
Bristol-Myers Squibb	Avapro	product_sales	usd_mm	YEAR	0.000	2013-12-31
Shire	Dermagraft	product_sales	usd_mm	YEAR	89.500	2013-12-31
Dainippon Sumitomo Pharma	Brovana	product_sales	usd_mm	YEAR	167.770	2013-12-31
Johnson & Johnson	Topamax	product_sales	usd_mm	YEAR	129.458	2013-12-31
Bavarian Nordic	Imvamune	product_sales	usd_mm	YEAR	149.472	2013-12-31
Merck & Co	Recombivax HB	product_sales	usd_mm	YEAR	155.373	2013-12-31
Pfizer	Tygacil	product_sales	usd_mm	YEAR	150.000	2013-12-31
Galderma	Oracea	product_sales	usd_mm	YEAR	169.867	2013-12-31
Hospira	Docetaxel	product_sales	usd_mm	YEAR	113.667	2013-12-31
Sanofi	Myozyme	product_sales	usd_mm	YEAR	163.396	2013-12-31
AstraZeneca	Atacand	product_sales	usd_mm	YEAR	72.000	2013-12-31
IMPAX Laboratories	Fenofibrate	product_sales	usd_mm	YEAR	110.667	2013-12-31
Johnson & Johnson	Ultram	product_sales	usd_mm	YEAR	148.707	2013-12-31
